Timestamp,Temperature_C,Humidity_Percent,Light_Lux
2026-05-28 08:56:12,24.5C,33.0%,47.5
2026-05-28 08:56:34,24.5C,33.0%,47.5
2026-05-28 08:56:55,24.6C,32.0%,45.833333333333336
2026-05-28 08:57:17,24.5C,32.0%,46.66666666666667
2026-05-28 08:57:39,24.5C,32.0%,54612.5
2026-05-28 08:58:46,24.2C,34.0%,54612.5
2026-05-28 09:25:38,24.8C,34.0%,45.833333333333336
2026-05-28 09:26:39,24.6C,32.0%,45.833333333333336
2026-05-28 09:29:15,24.7C,32.0%,45.0
2026-05-28 09:29:39,24.7C,31.0%,48.333333333333336
2026-05-28 09:30:02,24.4C,32.0%,48.333333333333336
2026-05-28 09:30:25,24.3C,31.0%,26.666666666666668
2026-05-28 10:21:21,24.3C,32.0%,53.333333333333336
2026-05-28 10:21:43,24.6C,33.0%,40.833333333333336
2026-05-28 10:28:40,24.6C,34.0%,31.666666666666668
2026-05-28 10:29:06,24.6C,33.0%,31.666666666666668
2026-05-28 10:35:01,24.6C,33.0%,37.5
2026-05-28 10:36:15,25.2C,34.0%,37.5
2026-05-28 10:37:06,25.4C,34.0%,45.0
2026-05-28 10:44:04,25.5C,34.0%,6.666666666666667
2026-05-28 10:44:26,25.9C,32.0%,14.166666666666668
2026-05-28 10:44:48,26.0C,36.0%,15.833333333333334
2026-05-28 10:45:10,26.0C,38.0%,20.0
2026-05-28 10:45:28,26.1C,40.0%,39.16666666666667
2026-05-28 10:45:46,26.0C,35.0%,40.833333333333336
2026-05-28 10:46:03,26.0C,35.0%,38.333333333333336
2026-05-28 10:46:27,25.9C,33.0%,29.166666666666668
2026-05-28 10:50:01,26.1C,34.0%,35.833333333333336
2026-05-28 10:51:12,25.6C,32.0%,46.66666666666667
2026-05-28 10:58:22,25.7C,31.0%,47.5
2026-05-28 10:58:31,25.8C,31.0%,43.333333333333336
2026-05-28 10:58:55,25.7C,31.0%,34.16666666666667
2026-05-28 11:15:49,26.0C,35.0%,37.5
2026-05-29 08:48:13,23.4C,37.0%,47.5
2026-05-29 08:48:36,23.4C,38.0%,47.5
2026-05-29 08:49:00,23.1C,37.0%,42.5
2026-05-29 08:49:24,23.5C,38.0%,20.833333333333336
2026-05-29 08:49:49,23.6C,37.0%,45.0
2026-05-29 08:53:32,23.6C,38.0%,45.0
2026-05-29 08:55:18,23.9C,36.0%,42.5
2026-05-29 08:55:28,23.9C,35.0%,41.66666666666667
2026-05-29 08:58:01,24.2C,35.0%,44.16666666666667
2026-05-29 08:58:23,24.2C,35.0%,44.16666666666667
2026-05-29 08:59:27,24.4C,36.0%,44.16666666666667
2026-05-29 08:59:51,24.4C,37.0%,51.66666666666667
2026-05-29 09:00:15,24.4C,36.0%,38.333333333333336
2026-05-29 09:00:40,24.6C,35.0%,23.333333333333336
2026-05-29 09:01:04,24.5C,36.0%,35.833333333333336
2026-05-29 09:01:30,24.4C,35.0%,35.0
2026-05-29 09:01:54,24.5C,35.0%,37.5
2026-05-29 09:02:17,24.5C,34.0%,37.5
